StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q24,Q3,Q4,Q12,Q20,Q23,Q21,Q13
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"What is your study participant ID (e.g., P0145)? You can find this information in your participant portfolio.",What are the last 4 digits of the phone number used to enroll in this study?,Did you attend your classes today?,"Did you study (e.g., review course notes, read text book, work on assignments) today?",Who did you interact with today?,"Did you attend any social events (any gathering of at least 5 people) (e.g., organizations and clubs, hanging out with friends) at USF today?","Did you attend any social events (any gathering of at least 5 people) (e.g., organizations and clubs, hanging out with friends) not at USF today?",Did you exercise today?,"How do you feel overall about the interactions you had with others today? ""Most of my interactions today were"""
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID12""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID21""}","{""ImportId"":""QID13""}"
5/16/2023 20:44,5/16/2023 20:45,IP Address,100,46,TRUE,"Tuesday, May 16, 2023",R_3P5LFFrMp3UDT91,anonymous,EN,P0014,8349,"Yes, all of them","No, there isn't anything I need to study today","Friends (at USF),Family,Significant Other,Classmates","No, and likely won't later either","No, and likely won't later either","No, but I plan to later",relaxing and calm
5/16/2023 21:04,5/16/2023 21:04,IP Address,100,31,TRUE,"Tuesday, May 16, 2023",R_W89mD2vGPSqLXmp,anonymous,EN,P0022,1921,"Yes, all of them",Yes,Classmates,Yes,Yes,"No, and likely won't later either",relaxing and calm
5/16/2023 21:42,5/16/2023 21:43,IP Address,100,52,TRUE,"Tuesday, May 16, 2023",R_1pmWFDq9D9hfaeo,anonymous,EN,P0027,5568,"Yes, all of them","No, and likely won't later either","Friends (at USF),Significant Other,USF Staff/Faculty",Yes,Yes,Yes,"exciting, delightful, and joyful"
5/16/2023 23:55,5/16/2023 23:55,IP Address,100,27,TRUE,"Tuesday, May 16, 2023",R_XuF2kCbCijojQvD,anonymous,EN,P0003,5886,I didn't have any classes today,"No, there isn't anything I need to study today","Friends (at USF),Friends (not at USF),Family,Significant Other,USF Staff/Faculty","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",relaxing and calm
5/17/2023 0:20,5/17/2023 0:20,IP Address,100,38,TRUE,"Wednesday, May 17, 2023",R_1gFkuSFQiTEIIjN,anonymous,EN,P0011,3270,"Yes, all of them",Yes,"Friends (at USF),Friends (not at USF)","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",exhausting
5/17/2023 20:01,5/17/2023 20:02,IP Address,100,37,TRUE,"Wednesday, May 17, 2023",R_3Jd7eO0JCupSS2d,anonymous,EN,P0014,8349,I didn't have any classes today,"No, there isn't anything I need to study today","Family,Significant Other,Other (not at USF)","No, and likely won't later either","No, and likely won't later either",Yes,relaxing and calm
5/17/2023 21:01,5/17/2023 21:03,IP Address,100,89,TRUE,"Wednesday, May 17, 2023",R_3eqvSbyJe3gH3cg,anonymous,EN,P0027,5568,"Yes, all of them","Yes, with more to do later","Friends (at USF),Classmates","Yes, with more to attend later","No, but I plan to later","No, but I plan to later",relaxing and calm
5/17/2023 21:39,5/17/2023 21:40,IP Address,100,56,TRUE,"Wednesday, May 17, 2023",R_tMXN3t1JMGzo1jP,anonymous,EN,P0016,484,"Yes, all of them","Yes, with more to do later","Friends (at USF),Significant Other,Classmates,Mental Health Professional","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",relaxing and calm
5/17/2023 23:34,5/17/2023 23:35,IP Address,100,52,TRUE,"Wednesday, May 17, 2023",R_XsPm1KmLASXfh17,anonymous,EN,P0022,1921,"Yes, all of them",Yes,"Friends (at USF),Friends (not at USF),Classmates,USF Staff/Faculty","No, and likely won't later either",Yes,"No, and likely won't later either",relaxing and calm
5/18/2023 0:15,5/18/2023 0:15,IP Address,100,24,TRUE,"Thursday, May 18, 2023",R_1N9aMJgOlFmgy4L,anonymous,EN,P0003,5886,I didn't have any classes today,"No, there isn't anything I need to study today","Friends (at USF),Friends (not at USF),Family,Significant Other,USF Staff/Faculty","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",relaxing and calm
5/18/2023 20:32,5/18/2023 20:33,IP Address,100,70,TRUE,"Thursday, May 18, 2023",R_6VBuVHaDgCEQ5jP,anonymous,EN,P0016,484,"Yes, all of them","Yes, but I didn't cover all of the material as planned","Friends (at USF),Friends (not at USF),Family,Significant Other,Classmates,Other (at USF)","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either","exciting, delightful, and joyful"
